target,feature,weight
y,pezzi,-56.992229915209464
y,living,-57.73787596546754
y,oeste,-57.946404571172025
y,sinteco,-59.08385426293535
y,ceramico,-59.66208027833818
y,02,-60.26260947183437
y,oscar,-60.518897816155004
y,nobre,-60.593523934076075
y,esportivo,-60.68889630839112
y,rack,-61.58613995171618
y,seguranca,-62.11090432047786
y,prateleiras,-62.92648338415893
y,norte,-63.161824739858275
y,avenida,-63.76803156654205
y,gama,-64.23194120757398
y,espaco,-64.31136762779352
y,matriz,-67.41947188030463
y,brinquedoteca,-67.6351962258268
y,95,-68.78370962449117
y,alfredo,-71.40089321327105
y,77,-74.47237157078416
y,primeira,-76.59397207567235
y,quiosques,-76.86539874519076
y,boulevard,-78.08795737443506
y,situacao,-78.93775002418624
y,conjugada,-80.97918578032113
y,leste,-81.02224955853217
y,total,-84.02135954696132
y,av,-84.35652168171123
y,condominio,-84.73130017457879
y,joao,-85.19069210477755
y,felizardo,-85.55323230810609
y,iluminado,-85.7049242486928
y,puc,-86.21846835406905
y,horas,-87.22924656155533
y,pia,-89.83910667453893
y,catedral,-90.10239161073696
y,metropolitana,-90.10239161073696
y,banquetas,-90.45418533394331
y,castilhos,-94.87893914034703
y,julio,-94.87893914034703
y,panoramica,-95.1546888209632
y,jantar,-96.97433041264594
y,mae,-97.47757187810384
y,hipermercado,-97.89872332494997
y,empregada,-99.35544870307785
y,banco,-102.22081466516829
y,oandar,-104.00314639929184
y,39,-104.79693832174962
y,jk,-107.91804005263839
y,09,-108.60718089332659
y,conceicao,-110.63689657545183
y,professor,-112.3311170849338
y,carros,-113.87441663876075
y,cortinas,-114.8682631025149
y,06,-116.81158575278096
y,leitao,-118.49479432869703
y,whatsapp,-118.88974994432647
y,bicama,-119.13564493946615
y,ventilador,-119.2697989574317
y,vagas,-119.6966911504096
y,niteroi,-121.16885278758491
y,solar,-124.32528959322644
y,terreo,-126.7351526606717
y,piso,-128.90850578738173
y,junker,-132.89633154789044
y,area,-133.55280570256582
y,teresopolis,-133.7046603915078
y,eduardo,-134.2359959480782
y,alta,-136.8543578761164
y,cristo,-139.9311826880512
y,redentor,-139.9311826880512
y,111,-143.3716667195913
y,quiosque,-143.5608455299007
y,relacao,-144.30988635725816
y,semi,-145.30664390283437
y,possui,-147.09228842909943
y,57,-152.3821454291865
y,100,-154.19498015101635
y,felipe,-154.68907606377616
y,mal,-155.63349447056316
y,quente,-156.54945189930731
y,lugar,-157.53446536755655
y,vinilico,-157.80243529055588
y,cavalhada,-159.33310063485806
y,78,-161.81082481735575
y,gremio,-165.40751466760412
y,dias,-166.22701803101518
y,iluminacao,-169.8523466347906
y,vidro,-170.28253379735725
y,dependencia,-172.57552279822266
y,borges,-174.16776596722798
y,75,-174.8074555325452
y,tenente,-176.8371634081268
